US Node ID 2012,DS Node ID  2012,Link Type 2012,System Type 2012,Conduit Material 2012,Site Condition 2012,Ground Condition 2012,Shape ID 2012,Conduit Width 2012,Conduit Height 2012,Bottom Roughness 2012,Top Roughness 2012,Conduit Length 2012 (ft),US Invert Level 2012 (ft),DS Invert Level 2012 (ft)
mshft1,mshft2,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,1124.288611,-299.858,-299.858
mshft2,InfluentGate,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,2327.636603,-298.058,-299.858
m-s1,mshft1,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,1133.719552,-296.488,-297.338
gb-s2,InfluentGate,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,3200.40006,3200.40006,0.015,0.015,5629.469388,-144.59,-150
bsrc1,bf-b11,Cond,combined,UNKN,ROAD,SUBURBS,RECT,4876.800092,4876.800092,0.015,0.015,64.21066491,-26.37,-26.87
bsrc2,bf-b12,Cond,combined,UNKN,ROAD,SUBURBS,RECT,4876.800092,4876.800092,0.015,0.015,64.21066491,-26.37,-24.87
bsrc3,bf-b13,Cond,combined,UNKN,ROAD,SUBURBS,RECT,4876.800092,4876.800092,0.015,0.015,64.21066491,-26.37,-24.87
scrm11,m-bf11,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3352.800063,3657.600069,0.015,0.015,526.6142008,-26.188,-26.518
scrm12,m-bf12,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3352.800063,3657.600069,0.015,0.015,537.4753267,-26.188,-26.518
scrm13,m-bf13,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3352.800063,3657.600069,0.015,0.015,519.3314799,-26.188,-26.518
gb-s1,bscr-11,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1828.800034,1828.800034,0.015,0.015,50.16458196,-24.924,-24.933
gb-s12!,bscr-12,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1828.800034,1828.800034,0.015,0.015,50.16458196,-24.924,-24.933
gb-s3,bscr-13,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1828.800034,1828.800034,0.015,0.015,50.16458196,-24.924,-24.933
BnxDt,gb-s11,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1828.800034,1828.800034,0.015,0.015,237.0339501,-24.88,-24.88
BnxDt,gb-s12,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,3657.600069,3657.600069,0.015,0.015,213.2253421,-24.88,-24.88
BnxDt,gb-s13,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1828.800034,1828.800034,0.015,0.015,243.6161729,-24.88,-24.88
bf-b1,gb-s21,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,3657.600069,3657.600069,0.015,0.015,401.7897549,-24.87,-24.87
