date,usage_mgd
1/1/2018,115
1/2/2018,120
1/3/2018,119.42
1/4/2018,116.6
1/5/2018,124.14
1/6/2018,118.99
1/7/2018,124.51
1/8/2018,120.75
1/9/2018,121.65
1/10/2018,119.97
1/11/2018,117.1
1/12/2018,115.6
1/13/2018,118.59
1/14/2018,118.59
1/15/2018,118.28
1/16/2018,120.44
1/17/2018,118.27
1/18/2018,116.5
1/19/2018,118.13
1/20/2018,116.59
1/21/2018,107.53
1/22/2018,125.92
1/23/2018,115.84
1/24/2018,114.13
1/25/2018,115.48
1/26/2018,116.11
1/27/2018,116.11
1/28/2018,116.22
1/29/2018,115.58
1/30/2018,116.03
1/31/2018,115.31
2/1/2018,113.74
2/2/2018,113.05
2/3/2018,93.19
2/4/2018,112.35
2/5/2018,114.33
2/6/2018,118.39
2/7/2018,114.42
2/8/2018,112.36
2/9/2018,112.36
2/10/2018,110.12
2/11/2018,120.36
2/12/2018,115.37
2/13/2018,113.65
2/14/2018,114.59
2/15/2018,115.26
2/16/2018,113.75
2/17/2018,113.26
2/18/2018,111.18
2/19/2018,112.32
2/20/2018,104.27
2/21/2018,117.74
2/22/2018,117.74
2/23/2018,112.62
2/24/2018,110.51
2/25/2018,112.23
2/26/2018,109.23
2/27/2018,109.57
2/28/2018,110.77
3/1/2018,110.72
3/2/2018,112.76
3/3/2018,110.95
3/4/2018,108.58
3/5/2018,115.94
3/6/2018,110.78
3/7/2018,110.78
3/8/2018,112.61
3/9/2018,114.46
3/10/2018,111.51
3/11/2018,111.61
3/12/2018,110.33
3/13/2018,114.01
3/14/2018,112.05
3/15/2018,113.1
3/16/2018,109.7
3/17/2018,112.59
3/18/2018,111.06
3/19/2018,112.76
3/20/2018,112.76
3/21/2018,111.58
3/22/2018,113.53
3/23/2018,107.74
3/24/2018,122.4
3/25/2018,113.16
3/26/2018,112.08
3/27/2018,112.13
3/28/2018,113.71
3/29/2018,112.59
3/30/2018,114.02
3/31/2018,113.96
4/1/2018,112.39
4/2/2018,112.39
4/3/2018,111.99
4/4/2018,111.29
4/5/2018,110.53
4/6/2018,112.01
4/7/2018,110.36
4/8/2018,88.32
4/9/2018,109.72
4/10/2018,112.51
4/11/2018,112.28
4/12/2018,114.93
4/13/2018,113.56
4/14/2018,113.55
4/15/2018,113.55
4/16/2018,114.71
4/17/2018,108.29
4/18/2018,119.53
4/19/2018,114.63
4/20/2018,114.32
4/21/2018,113.89
4/22/2018,114.9
4/23/2018,111.75
4/24/2018,113.31
4/25/2018,115.9
4/26/2018,114.76
4/27/2018,114.29
4/28/2018,114.29
4/29/2018,114.71
4/30/2018,98.98
5/1/2018,129.23
5/2/2018,113.66
5/3/2018,112.64
5/4/2018,112.05
5/5/2018,112.3
5/6/2018,111.86
5/7/2018,112.75
5/8/2018,111.63
5/9/2018,113.1
5/10/2018,107.6
5/11/2018,107.6
5/12/2018,120.3
5/13/2018,116.68
5/14/2018,117
5/15/2018,117.17
5/16/2018,111.82
5/17/2018,113.9
5/18/2018,114
5/19/2018,114.34
5/20/2018,113.73
5/21/2018,113.87
5/22/2018,111.97
5/23/2018,111.62
5/24/2018,111.62
5/25/2018,111.42
5/26/2018,116.22
5/27/2018,112.8
5/28/2018,112.52
5/29/2018,114
5/30/2018,103.44
5/31/2018,124.38
6/1/2018,116.78
6/2/2018,114.86
6/3/2018,115.16
6/4/2018,116.72
6/5/2018,116.61
6/6/2018,116.61
6/7/2018,119.06
6/8/2018,109.96
6/9/2018,112.08
6/10/2018,115.65
6/11/2018,117.73
6/12/2018,113.91
6/13/2018,94.23
6/14/2018,119.3
6/15/2018,114.73
6/16/2018,113.62
6/17/2018,115.81
6/18/2018,114.37
6/19/2018,114.37
6/20/2018,114.6
6/21/2018,115.91
6/22/2018,116.55
6/23/2018,108.65
6/24/2018,121.01
6/25/2018,115.99
6/26/2018,116.54
6/27/2018,118.54
6/28/2018,117.99
6/29/2018,115.31
6/30/2018,118.58
7/1/2018,122.09
7/2/2018,122.09
7/3/2018,123.44
7/4/2018,121.66
7/5/2018,119.94
7/6/2018,120.67
7/7/2018,115.67
7/8/2018,117.97
7/9/2018,118.56
7/10/2018,117.38
7/11/2018,117.15
7/12/2018,117.65
